Sl #,Project Name,Contract Number,Division,Area,Name of Contractors
1,EPCM FOR BAB FAR NORTH FULL FIELD DEVELOPMENT PROJECT (BFN)-P11643,4700016030,P&C BAB/NEB,BAB,KENT
2,EPCM FOR PROJECT WAVE C3B,4700018421,P&C BAB/NEB,BAB,Archirodon
3,EPCM BAB & BU HASA AIP5 OFF-PLOT FACILITIES,4700018834,P&C BAB/NEB,BAB,CPECC
4,EPC FOR BAB AIP5 ON PLOT (TRAIN-9) FACILITIES PROJECT,4700021214,P&C BAB/NEB,BAB,CPECC
5,Construction of Flow line and well head Tie-in Installation,16936.01,P&C BAB/NEB,BAB,ROBTSTONE(ME)LLC
6,EPC for BAB Facilities Upgrade Project,4700013110,P&C BAB/NEB,BAB,ROBTSTONE(ME)LLC
7,Construction of Flowlines & Wellhead Tie-Ins at ADNOC BAB & NEB Field,4700018189,P&C BAB/NEB,BAB,Galfar
8,CATHODIC PROTECTION OF WELL CASING IN BAB/NEB,4700015807,P&C BAB/NEB,BAB,BSS Tech
9,One Integrity Program Project,4700024107,P&C BAB/NEB,BAB,Galfar
10,Artificial Lift Phase II Project,6000064848,P&C BAB/NEB,BAB,ROBTSTONE(ME)LLC
11,EPC For BAB Upgrades and Modification Project .,4700025083,P&C BAB/NEB,BAB,ROBTSTONE(ME)LLC
12,Al Dabbiya Thamama B Transition Zone Developments-Phase II,4700012425,P&C BAB/NEB,NEB,ROBTSTONE(ME)LLC
13,NEB Miscellaneous Modifications and Enhancement Project,4700018825,P&C BAB/NEB,NEB,ROBTSTONE(ME)LLC
14,Construction of Flowlines & Wellhead Tie-Ins at ADNOC BAB & NEB Field,4700018189,P&C BAB/NEB,NEB,Galfar
15,EPCM PROJECT SWING ,4700018437,P&C BAB/NEB,NEB,CPECC
16,Cathodic Protection of Well Casing in ADNOC Onshore Buhasa/Huwaila/Bida Qemzan Fields,4700015807,P&C BUHASA,Buhasa,BSS Tech 
17,EPC FOR BU HASA SWAG CO2 EOR PILOT PROJECT,4700017117,P&C BUHASA,Buhasa,Petrojet
18,"EPC for New FST, Access Platforms, Dead Leg Repair Works and STP",4700017119,P&C BUHASA,Buhasa,ROBTSTONE(ME)LLC
19,Galfar - OTP,4700017698,P&C BUHASA,Buhasa,Galfar
20,Technical services agreement (call off) for BUHASA tie-ins (2021-2025) –package 2,4700007583,P&C BUHASA,Buhasa,ROBTSTONE(ME)LLC
21,Technical services agreement (call-off) for call-out contract for BUHASA tie-ins (2021-2025) - package 1,4700007581,P&C BUHASA,Buhasa,CPP
22,ADNOC Onshore One Tie-in Program,4200532415,P&C BUHASA,Buhasa,Descon
